Date,MSDEE15N Index,MSDEWEUN Index,MSDEEEMN Index,SBWMEU1L Index,SBWMUD1U Index,EURUSD Curncy,LEU1TREU Index,I19027EU Index,BERP10 Index,I02003EU Index,LECPTREU Index,LF96TREH Index,I34380 Index,LEGATRUU Index,LBUSTRUU Index,LBUTTRUU Index,LUATTRUU Index,H23059EU Index,H29186EU Index,H29190EU Index,HFRXGLE Index,BCOMTR Index,CLA Comdty,XAU Curncy,TTFG1MON Comdty,VIX Index,MOVE Index,SKEW Index,V2X Index
1998-12-31 00:00:00,100,100,,100,100,100,100,,100,100,100,,,100,100,100,100,,,,,100,,100,,100,100,100,
1999-01-01 00:00:00,100,100,,100,100,100.5453306,100,,100,100,100,,,100,100,100,100,,,,,100,,99.82653946,,100,100,100,
1999-01-04 00:00:00,100,100,,100.0354936,100.0547383,100.8605999,100,,100.3647,100.3549412,100.4833732,,,100.4807428,99.95836605,99.53435817,99.886121,,,,,100.5452321,,99.80919341,,107.1662572,97.57285561,95.03454925,100
1999-01-05 00:00:00,100,100,,100.044319,100.0684465,100.2215406,100,,100.3863,100.4203251,100.4680636,,,100.3508663,99.78469298,99.48770917,99.64006101,,,,,100.2748324,,99.5490026,,100.1638002,95.55023528,95.5568054,163.1318681
1999-01-06 00:00:00,100,100,,100.0532404,100.0821547,99.0797546,100,,100.092,100.4576873,100.4656364,,,100.2230323,99.9512288,100.2574648,99.88307067,,,,,102.1711763,,100.0173461,,95.57739558,95.32733427,93.64454443,138.2967033
1999-01-07 00:00:00,100,100,,100.0621617,100.095863,99.80402181,100,,100.0855,100.4763684,100.4782389,,,100.1241042,99.76566031,100.3256006,99.5963396,,,,,102.3857229,,101.0754553,,99.7952498,91.94254107,95.78981199,178.6813187
1999-01-08 00:00:00,100,100,,100.0709872,100.1095712,98.7133606,100,,100.1774,100.5977956,100.6028629,,,99.5125081,99.45400043,100.1692558,99.15200813,,,,,103.0453208,,101.0754553,,95.33169533,88.18624618,97.23605978,182.5824176
1999-01-11 00:00:00,100,100,,100.0976553,100.1506958,97.93796864,100,,100.0424,100.4950495,100.5145525,,,99.49998668,99.35645802,100.4114536,99.01169293,,,,,103.8476542,,101.613183,,104.2588043,90.29967803,96.58524827,202.4175824
1999-01-12 00:00:00,100,100,,100.1065767,100.164404,98.50886162,100,,100.1218,100.5604334,100.5683229,,,99.49350396,99.62767349,100.3831815,99.33502796,,,,,102.5559417,,100.1040763,,115.0696151,88.62379262,96.01478387,206.4285714
1999-01-13 00:00:00,100,100,,100.1154021,100.1781122,99.42910702,100,,100.3595,100.7472445,100.8124366,,,99.78358361,99.95241834,100.4835475,99.7193696,,,,,100.6879677,,99.47961839,,123.3005733,93.05704615,94.49622369,218.3516484
1999-01-14 00:00:00,100,100,,100.1243235,100.191915,99.61656442,100,,100.4482,100.7939473,100.9354737,,,100.569858,100.3830324,100.6541226,100.2887646,,,,,100.3599418,,99.41023417,,135.0532351,94.683398,93.06604532,215.0549451
1999-01-15 00:00:00,100,100,,100.1331489,100.2056232,98.45773688,100,,100.4389,100.8313095,100.9363139,,,100.0575453,100.1605881,100.6655257,99.95526182,,,,,100.1932693,,99.58369471,,119.7379197,93.16436886,96.76201189,212.4725275
1999-01-18 00:00:00,100,100,,100.159913,100.2467478,98.95194274,100,,100.5799,100.8313095,100.9363139,,,100.0575453,100.1605881,100.6655257,99.95526182,,,,,100.1932693,,99.5490026,,119.7379197,93.16436886,96.76201189,211.7582418
1999-01-19 00:00:00,100,100,,100.1687384,100.2604561,98.79856851,100,,100.645,101.0181207,101.0637384,,,100.1705933,100.1367973,100.691913,99.92374174,,,,,99.39004929,,99.51431049,,119.7379197,90.49781227,95.78981199,213.1318681
1999-01-20 00:00:00,100,100,,100.1776598,100.2742588,98.54294479,100,,100.551,100.9807585,101.0140755,,,99.9678528,100.0035686,100.7418605,99.75394001,,,,,98.92194759,,99.68777103,,117.1171171,83.29067944,96.56917885,195.3296703
1999-01-21 00:00:00,100,100,,100.1865811,100.287967,98.85821404,100,,100.6387,101.0368018,101.1176955,,,100.2119762,100.2402874,100.6960596,100.0528724,,,,,99.94680662,,99.79184735,,126.6175266,81.85420622,94.5042584,202.8571429
1999-01-22 00:00:00,100,100,,100.1954066,100.3016752,98.73892297,100,,100.7816,101.1769101,101.2924492,,,100.376886,100.4960388,100.7955775,100.387392,,,,,100.0328026,,99.37554206,,130.8353808,86.01502518,95.87015909,219.4505495
1999-01-25 00:00:00,100,100,,100.2220747,100.3428944,98.28732106,100,,100.8143,101.242294,101.3352974,,,100.3077073,100.4532153,100.8329909,100.3253686,,,,,99.09925884,,99.86123157,,127.4774775,86.14711467,95.30772939,223.6263736
1999-01-26 00:00:00,100,100,,100.2309961,100.3566026,98.50886162,100,,100.8252,101.242294,101.3385647,,,100.3466925,100.399686,100.8856713,100.2704626,,,,,98.3013582,,99.27146574,,119.6969697,82.11838521,96.43258878,234.8901099
1999-01-27 00:00:00,100,100,,100.2399174,100.3704054,97.5204499,100,,100.8236,101.2329535,101.2453068,,,100.0403616,100.4520258,100.9940478,100.3040163,,,,,98.52654349,,98.17866435,,121.7444717,80.02146454,93.40350313,229.4505495
1999-01-28 00:00:00,100,100,,100.2488388,100.3841136,97.30743013,100,,100.8214,101.2516346,101.2866614,,,99.69611125,100.5507577,101.1545392,100.4392476,,,,,99.26859108,,98.6123157,,115.1105651,76.01750186,95.17917403,215.1098901
